idx,usage,sentence,ground_truth_label
1,select,scant ,0
2,select,"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",0
3,select,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . ",0
4,select,no telegraphing is too obvious or simplistic for this movie . ,0
5,select,"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard . ",0
6,select,"one of the more irritating cartoons you will see this , or any , year . ",0
7,select,the plot convolutions ultimately add up to nothing more than jerking the audience 's chain . ,0
8,select,"this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again . ",0
9,select,its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . ,0
10,select,i could have used my two hours better watching being john malkovich again . ,0
11,select,"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ? ",0
12,select,i got a headache watching this meaningless downer . ,0
13,select,an unwise amalgam of broadcast news and vibes . ,0
14,select,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ",0
15,select,but this films lacks the passion required to sell the material . ,0
16,select,"a broad , melodramatic estrogen opera that 's pretty toxic in its own right . ",0
17,select,"for starters , the story is just too slim . ",0
18,select,i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers . ,0
19,select,teen movies have really hit the skids . ,0
20,select,the affectionate loopiness that once seemed congenital to demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects . ,0
21,select,are all things we 've seen before ,0
22,select,does little more than play an innocuous game of fill-in - the-blanks with a tragic past . ,0
23,select,the film 's tone and pacing are off almost from the get-go . ,0
24,select,shot on ugly digital video ,0
25,select,derivative and hammily ,0
26,select,the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work . ,0
27,select,what was once original has been co-opted so frequently that it now seems pedestrian . ,0
28,select,this movie is maddening . ,0
29,select,"utterly lacking in charm , wit and invention , roberto benigni 's pinocchio is an astonishingly bad film . ",0
30,select,"and the lesson , in the end , is nothing new . ",0
31,select,"an absurdist comedy about alienation , separation and loss . ",0
32,select,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0
33,select,"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem . ",0
34,select,"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ",0
35,select,rarely has so much money delivered so little entertainment . ,0
36,select,comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,0
37,select,a plot cobbled together from largely flat and uncreative moments ,0
38,select,the end result is a film that 's neither . ,0
39,select,like watching a dress rehearsal the week before the show goes up : everything 's in place but something 's just a little off-kilter . ,0
40,select,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left . ,0
41,select,verbinski implements every hack-artist trick to give us the ooky-spookies . ,0
42,select,i hate it . ,0
43,select,nothing is sacred in this gut-buster . ,0
44,select,"well-nigh unendurable ... though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull . ",0
45,select,this frozen tundra soap opera ,0
46,select,"the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque . ",0
47,select,"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . ",0
48,select,so bad ,0
49,select,"complete lack of originality , cleverness or even visible effort ",0
50,select,"shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere . ",0
51,select,"uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions . ",0
52,select,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0
53,select,it 's so bad ,0
54,select,the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters ,0
55,select,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,0
56,select,made with no discernible craft and monstrously sanctimonious in dealing with childhood loss . ,0
57,select,"when the film ended , i felt tired and drained and wanted to lie on my own deathbed for a while . ",0
58,select,looks and feels like a project better suited for the small screen . ,0
59,select,here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep . ,0
60,select,those so-so films that could have been much better ,0
61,select,a $ 40 million version of a game ,0
62,select,but it could have been worse . ,0
63,select,... the movie is just a plain old monster . ,0
64,select,"it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull . ",0
65,select,it 's a bit disappointing that it only manages to be decent instead of dead brilliant . ,0
66,select,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . ",0
67,select,does n't leave you with much . ,0
68,select,is less successful on other levels ,0
69,select,"it 's too harsh to work as a piece of storytelling , ",0
70,select,"it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy . ",0
71,select,it 's everything you do n't go to the movies for . ,0
72,select,"for all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking . ",0
73,select,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0
74,select,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,0
75,select,"it 's a cookie-cutter movie , a cut-and-paste job . ",0
76,select,it 's not the ultimate depression-era gangster movie . ,0
77,select,justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,0
78,select,feeble comedy . ,0
79,select,ultra-cheesy dialogue ,0
80,select,"it 's not that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation . ",0
81,select,formulaic equations ,0
82,select,"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . ",0
83,select,comatose ballerinas ,0
84,select,", esther kahn is unusual but unfortunately also irritating . ",0
85,select,the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . ,0
86,select,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,0
87,select,"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . ",0
88,select,"even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure . ",0
89,select,an extremely unpleasant film . ,0
90,select,"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust . ",0
91,select,i 'm just too bored to care . ,0
92,select,second fiddle ,0
93,select,"what is 100 % missing here is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting . ",0
94,select,"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . ",0
95,select,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0
96,select,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0
97,select,you wonder why enough was n't just a music video rather than a full-length movie . ,0
98,select,the film makes a fatal mistake : it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life . ,0
99,select,a sequel that 's much too big for its britches . ,0
100,select,not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers . ,0
101,select,as predictable as the tides ,0
102,select,the film tries too hard to be funny and tries too hard to be hip . ,0
103,select,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes . ,0
