idx,usage,sentence1,sentence2,ground_truth_label
1,select,"A European Union spokesman said the Commission was consulting EU member states "" with a view to taking appropriate action if necessary "" on the matter .",Laos 's second most important export destination - said it was consulting EU member states ' ' with a view to taking appropriate action if necessary ' ' on the matter .,0
2,select,"Island Def Jam must pay $ 52 million in punitive damages , and Cohen must pay the remaining $ 56 million , the jury said .","TVT Records sought $ 360 million in punitive damages and $ 30 million in compensatory damages , officials said .",0
3,select,Inflation-index bonds are carrying an interest rate of 4.66 percent .,The interest rate on Series EE savings bonds for May through October is 2.66 percent .,0
4,select,"Shares of USA Interactive rose $ 2.28 , or 7 percent , to $ 34.96 on Friday in Nasdaq Stock Market composite trading and have gained 53 percent this year .","Shares of LendingTree rose $ 6.03 , or 41 percent , to close at $ 20.72 on the Nasdaq stock market yesterday .",0
5,select,"Seniors would then have to pay 50 percent of their drug costs up to $ 3,450 .","Above that , Medicare would pay 90 percent of all drug costs .",0
6,select,"In 1998 Intel invested $ 500 million in Micron , but later sold the equity it had bought , Mulloy said .","Earlier this year , Intel invested $ 123 million in Elpida Memory over two funding rounds , Mulloy said .",0
7,plot,"A European Union spokesman said the Commission was consulting EU member states "" with a view to taking appropriate action if necessary "" on the matter .",Laos 's second most important export destination - said it was consulting EU member states ' ' with a view to taking appropriate action if necessary ' ' on the matter .,0
8,plot,"Island Def Jam must pay $ 52 million in punitive damages , and Cohen must pay the remaining $ 56 million , the jury said .","TVT Records sought $ 360 million in punitive damages and $ 30 million in compensatory damages , officials said .",0
9,plot,Inflation-index bonds are carrying an interest rate of 4.66 percent .,The interest rate on Series EE savings bonds for May through October is 2.66 percent .,0
10,plot,"Shares of USA Interactive rose $ 2.28 , or 7 percent , to $ 34.96 on Friday in Nasdaq Stock Market composite trading and have gained 53 percent this year .","Shares of LendingTree rose $ 6.03 , or 41 percent , to close at $ 20.72 on the Nasdaq stock market yesterday .",0
11,plot,"Seniors would then have to pay 50 percent of their drug costs up to $ 3,450 .","Above that , Medicare would pay 90 percent of all drug costs .",0
12,plot,"In 1998 Intel invested $ 500 million in Micron , but later sold the equity it had bought , Mulloy said .","Earlier this year , Intel invested $ 123 million in Elpida Memory over two funding rounds , Mulloy said .",0
