======================================================================
QWEN3-8B-BASE — SST2 — Full 36-layer LR probe accuracy
(reconstructed from probing job log; SST-2/MRPC/MT probing jobs 9913310/9913311/9914077)
======================================================================

Baseline zero-shot: 94.84%

Layer  Accuracy   Δ baseline
  L 0    77.52%     -17.32%
  L 1    78.10%     -16.74%
  L 2    78.78%     -16.06%
  L 3    78.67%     -16.17%
  L 4    78.56%     -16.28%
  L 5    80.50%     -14.33%
  L 6    83.03%     -11.81%
  L 7    84.06%     -10.78%
  L 8    85.21%     -9.63%
  L 9    86.01%     -8.83%
  L10    86.01%     -8.83%
  L11    86.58%     -8.26%
  L12    87.39%     -7.45%
  L13    86.58%     -8.26%
  L14    87.16%     -7.68%
  L15    87.39%     -7.45%
  L16    87.50%     -7.34%
  L17    87.96%     -6.88%
  L18    89.79%     -5.05%
  L19    90.37%     -4.47%
  L20    89.91%     -4.93%
  L21    90.25%     -4.59%
  L22    89.45%     -5.39%
  L23    89.56%     -5.28%
  L24    89.11%     -5.73%
  L25    88.88%     -5.96%
  L26    88.88%     -5.96%
  L27    88.76%     -6.08%
  L28    88.19%     -6.65%
  L29    88.42%     -6.42%
  L30    87.27%     -7.57%
  L31    87.50%     -7.34%
  L32    87.84%     -7.00%
  L33    86.93%     -7.91%
  L34    86.81%     -8.03%
  L35    88.30%     -6.54%
