sentence_id,sentence_type,sentence_text,avg_top5_neg_features
P1,positive,a delightful coming-of-age story . ,1808.277710
P2,positive,director andrew niccol ... demonstrates a wry understanding of the quirks of fame . ,2932.650879
P3,positive,i just loved every minute of this film . ,2172.636230
P4,positive,the film 's performances are thrilling . ,2096.757324
P5,positive,at its best moments ,2321.216309
P6,positive,jones ... does offer a brutal form of charisma . ,1965.312256
P7,positive,pays earnest homage to turntablists ,1941.050415
P8,positive,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",2485.486084
P9,positive,seem fresh ,2022.695679
P10,positive,cool ? ,2900.100586
P11,positive,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,1973.884521
P12,positive,weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . ,2138.560059
P13,positive,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",2287.652100
P14,positive,it 's a beautiful madness . ,2254.208008
P15,positive,cinematic bon bons ,2106.794678
P16,positive,speak for it while it forces you to ponder anew what a movie can be ,2271.784668
P17,positive,a giggle a minute . ,1808.277710
P18,positive,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1808.271240
P19,positive,"belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film . ",2885.937988
P20,positive,blanchett 's performance confirms her power once again . ,2387.129883
P21,positive,"a warm , funny , engaging film . ",1808.277344
P22,positive,good-natured fun found in films like tremors ,2685.156982
P23,positive,"this is a good script , good dialogue , funny even for adults . ",2386.524658
P24,positive,we have n't seen such hilarity since say it is n't so ! ,2155.170898
P25,positive,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",2553.454590
P26,positive,"while the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor . ",2188.955566
P27,positive,on all cylinders ,2403.437988
P28,positive,"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ",2172.205566
P29,positive,"not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit . ",2352.857666
P30,positive,fashioning an engrossing entertainment out ,1998.632568
N1,negative,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,2270.728760
N2,negative,"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ",2098.377930
N3,negative,burns never really harnesses to full effect the energetic cast . ,2898.481934
N4,negative,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . ,2071.982910
N5,negative,"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show . ",2504.057617
N6,negative,how do you spell cliché ? ,2420.645020
N7,negative,tedious norwegian offering which somehow snagged an oscar nomination . ,2468.248291
N8,negative,than this mess ,2717.210938
N9,negative,"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . ",2237.618896
N10,negative,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",2321.099609
N11,negative,chokes on its own depiction of upper-crust decorum . ,2370.408447
N12,negative,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,2304.511230
N13,negative,overbearing and over-the-top ,2304.475098
N14,negative,a résumé loaded with credits like `` girl in bar # 3 ,1808.277344
N15,negative,"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ",2304.572266
N16,negative,too much of the humor falls flat . ,2370.591797
N17,negative,"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic . ",2237.618896
N18,negative,", unassuming , subordinate ",2288.654785
N19,negative,"as a director , eastwood is off his game ",2370.516846
N20,negative,"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . ",2818.432373
N21,negative,hide new secretions from the parental units ,2734.642334
N22,negative,the horror ,2071.933350
N23,negative,"yes , dull . ",2569.054932
N24,negative,"walked out muttering words like `` horrible '' and `` terrible , '' ",2502.093506
N25,negative,"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ",2567.045898
N26,negative,a subject like this should inspire reaction in its audience ; the pianist does not . ,1808.271240
N27,negative,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . ",2071.982910
N28,negative,rarely has leukemia looked so shimmering and benign . ,2048.637939
N29,negative,"serves as auto-critique , and its clumsiness as its own most damning censure . ",2271.784668
N30,negative,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . ,2321.211426
