idx,usage,sentence1,sentence2,ground_truth_label
1,select,"U.S. troops encountered no resistance during the five-hour sweep near Tikrit , Saddam Hussein 's hometown and the center of a region of Baath Party supporters .",Tikrit is Saddam Hussein 's hometown and the region around it is known as a hotbed of Baath Party supporters and former high-ranking Iraqi military officials .,0
2,select,No dates have been set for the civil or the criminal trial .,"No dates have been set for the criminal or civil cases , but Shanley has pleaded not guilty .",0
3,select,"The hearing , expected to last a week , will determine whether Akbar faces a court-martial .",The purpose of the hearing is to determine whether Akbar should be court-martialled .,1
4,select,"Taylor 's aides warn an abrupt departure could trigger more chaos , a view shared by many in Liberia and , in private , even by mediators .","His aides warn an abrupt departure could trigger more bloodshed , a view shared by many in Liberia .",1
5,select,"Robert Walsh , 40 , remained in critical but stable condition Friday at Staten Island University Hospital 's north campus .","Walsh , also 40 , was in critical but stable condition at Staten Island University Hospital last night .",1
6,select,"In a statement distributed Friday , 28 Chechen non-governmental organizations said they would boycott the vote .","In a statement distributed today , 28 Chechen non-governmental organisations said they would boycott the vote and warned voters to expect fraud .",0
7,select,"Nearly 6,000 MTA drivers and train operators joined the mechanics in the picket line .","Nearly 6,000 MTA drivers and train operators then walked off the job in solidarity .",1
8,select,Defense Secretary Donald H. Rumsfeld and others argued that Saddam Hussein possessed chemical and biological weapons and was hiding them .,"Defense Secretary Donald H. Rumsfeld and others argued that Saddam Hussein ( news - web sites ) possessed chemical , biological and other weapons and was hiding them .",1
9,select,"In addition , juries in both state and federal cases have become increasingly reluctant to impose the death penalty .",Juries in state and federal cases alike have also grown reluctant to impose the death penalty .,1
10,select,"However , John Clare , chief executive of the Dixons Group , expressed his disappointment .","John Clare , Dixons chief executive , objected to the Commission 's findings .",1
11,select,"The other 18 people in the building , including Harrison 's ex-girlfriend , were not injured , police spokesman Don Aaron said .","The other 18 people inside the building - two visitors and 16 employees , including Harrison 's ex-girlfriend - escaped unharmed , Aaron said .",1
12,select,"As Samudra sat down to hear the indictment , he looked over to his nine lawyers and shouted ``God is Great ' ' three times .","As he sat down to hear the indictment , Samudra looked over to his nine lawyers and shouted "" Takbir ! "" , or "" Proclaim ! "" , a religious rallying cry .",1
13,select,"In March 2002 , 63 percent of home broadband users connected via cable modem ; 34 percent used a DSL service .","In the earlier survey , 63 percent of home broadband users had cable modems , compared with 34 percent who connected with DSL technology .",1
14,select,"Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said it appeared to have veered from its flight path because of the fog .","Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said initial information indicated it had veered from its flight path because of fog .",1
15,select,Supporters say a city casino will attract tourists and conventioneers who will gamble and spend money in restaurants and stores .,Supporters say those people will gamble and have enough money left over to spend in restaurants and stores .,1
16,select,"Next Monday at about 2 p.m. ( CST ) , hospital officials in and near Chicago will notice a sudden increase in people complaining of flu-like symptoms .","Around the same time , hospital officials in and near Chicago will notice a sudden increase in people complaining of flu-like symptoms .",1
17,select,"Jordan Green , the prelate 's private lawyer , said he had no comment .","O 'Brien 's attorney , Jordan Green , declined to comment .",1
18,select,"Six countries have advised their citizens not to travel to Taiwan for any reason , the ministry said .","Spain , Poland , United Arab Emirates and Lithuania have advised their citizens not to travel to Taiwan for any reason .",1
19,select,"The tech-heavy Nasdaq Stock Markets composite index lost the most ground , falling 16.95 points to 1,506,76 .","The Nasdaq Composite Index lost 16.95 , or 1.1 percent , to 1507.76 , its first slide in five days .",0
20,select,A spokeswoman for Interscope Geffen A & M declined to confirm how many employees were affected .,A spokeswoman for Interscope Geffen A & M Records declined to elaborate .,1
21,select,Neither Iowa State athletic director Bruce Van De Velde nor Morgan could be reached for comment .,Iowa State athletic director Bruce Van de Velde would not confirm an offer was made to Lebo .,0
22,select,"There are an estimated 25,000 to 28,000 tribal fighters in the region , with thousands deployed in and around the town .","Bunia has about 750 U.N. troops , compared with an estimated 25,000 to 28,000 tribal fighters in the region , with thousands deployed in and around Bunia .",0
23,select,"Now , nearly two years later , Mallard prepares for trial on charges of murder and tampering with evidence .","Chante Jawaon Mallard , 27 , is charged with murder and tampering with evidence .",1
24,select,"A former teammate , Carlton Dotson , has been charged with the murder .","His body was found July 25 , and former teammate Carlton Dotson has been charged in his shooting death .",0
25,select,U.S. troops killed nearly two dozen suspected Taliban militants after coming under fire in southern Afghanistan in the latest in a series of such attacks .,"U.S. soldiers killed about two dozen suspected Taliban militants in southern Afghanistan after their convoy came under attack , the military said Sunday .",1
26,select,Cabrera was called up to help in left field because Todd Hollandsworth has not been productive .,Cabrera was called up Friday from Double A Carolina and started in left field .,0
27,select,"Three such vigilante-style attacks forced the hacker organiser , who identified himself only as "" Eleonora67 ] , "" to extend the contest until 8am ( AEST ) today .","Three such vigilante-style attacks forced the hacker organizer , who identified himself only as "" Eleonora67 , "" to extend the contest until 6 p.m. EDT Sunday .",1
28,select,"That ought to be the standard — not how many people sign up , "" he said .",""" That ought to be the standard , not how many people actually signed up , "" Mr. Rule told the judge .",1
29,select,A lawsuit has been filed in an attempt to block the removal of the Ten Commandments monument from the building .,Supporters asked a federal court Monday to block the removal of a Ten Commandments monument from the Alabama Judicial Building .,1
30,select,"Last week , his lawyers asked Warner to grant clemency under conditions that would have lead to a new sentencing hearing .","Last week , his lawyers asked Gov. Mark R. Warner to grant clemency , but the governor declined to intervene .",0
31,select,"About $ 250,000 worth of her jewelry was discovered last week at Kennedy International Airport , where it had up and disappeared before a flight to the BET Awards .","An estimated $ 250,000 worth of jewelry belonging to the hip-hop performer was recovered Friday at Kennedy Airport , where it had disappeared June 20 .",1
32,select,"Nine traffic deaths were blamed on the storm in North Carolina , Virginia , Maryland , Pennsylvania and Washington .","At least 36 deaths have been blamed on the storm , 20 of them in Virginia .",0
33,select,"All three were studied for fingerprints , DNA and other traces of evidence , but prosecutors have not yet testified to what , if anything , they yielded .","All three were studied for fingerprints , DNA and other traces of evidence , but there has been no testimony yet about what the tests might have yielded .",1
34,select,""" To make sure that we avoided any perception of wrongdoing , we are not co-mingling appropriated and non-appropriated funds ( from Congress ) , "" said Faletti .",""" To make sure that we avoided any perception of wrongdoing , we are not comingling appropriated and nonappropriated funds [ from Congress ] , "" said Faletti .",1
35,select,He also reaffirmed his wish to resolve the North Korean nuclear crisis peacefully .,But the North Korean nuclear crisis has dominated his time in office .,0
