pair_id,pred_set,sentence1,sentence2,ground_truth_label,avg_top5_nonparaphrase_features
Y1,predicted_yes,"But while the prime minister 's trial judders to a halt , his co-defendants in the same case are not protected .","While he is now spared that threat , his co-defendants in the same case are not protected .",1,0.043942
Y2,predicted_yes,"He said : "" For the first time there is an easy and affordable way of making this treasure trove of BBC content available to all . """,""" For the first time , there is an easy and affordable way of making this treasure trove of BBC content available to all , "" Dyke said .",1,0.018886
Y3,predicted_yes,"A European Union spokesman said the Commission was consulting EU member states "" with a view to taking appropriate action if necessary "" on the matter .",Laos 's second most important export destination - said it was consulting EU member states ' ' with a view to taking appropriate action if necessary ' ' on the matter .,0,0.009439
Y4,predicted_yes,"Come tonight , 21-year-old Morgan and as many as 1,200 fellow students at Wheaton College will gather in the gym for the first real dance in the school 's 143-year history .","As many as 1,200 students at Wheaton College will gather in the gym Friday night for the first real dance in the Christian school 's 143-year history .",1,0.011918
Y5,predicted_yes,"My decision today is not based on any one event . ""","Governor Rowland said his decision was "" not based on any one event . """,1,0.088835
Y6,predicted_yes,Associated Press Writer Sara Kugler contributed to this report from New York City .,Associated Press Writer Michael Gormley contributed to this report from Albany .,0,0.073045
Y7,predicted_yes,He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .,He said the prob lem needs to be corrected before the space shuttle fleet flies again .,1,0.052785
Y8,predicted_yes,""" People who are high in positive emotions sleep better , they have better diets , they exercise more , they have lower levels of these stress hormones , "" Cohen said .",""" Happy people sleep better , have better diets , exercise more and have less levels of stress hormones , "" Cohen said .",1,0.060514
Y9,predicted_yes,"Technology stocks make up 42 percent of the Nasdaq , which fell 49.95 points , or 2.9 percent , to 1,698.02 .","The Nasdaq fell 49.95 points , or 2.86 percent , to end at 1,698.02 , based on the latest available data .",0,0.029170
Y10,predicted_yes,"Taher , acting against his attorney 's advice , became the fifth member of a group of six Yemeni-Americans to enter a plea agreement with the government in the case .","Taher , acting against his attorney 's advice , became the fifth member of the six to enter a plea agreement with the government .",1,0.039081
Y11,predicted_yes,"Shares closed on NASDAQ just below their 52-week high , at $ 32.17 , up $ 1.54 .","Trading of EchoStar 's stock closed Tuesday at a 52-week high of $ 32.17 , up $ 1.54 .",0,0.035377
Y12,predicted_yes,They used discarded skin from consenting patients who had undergone surgery and exposed it to UVA light at intensities similar to that of sunlight .,Sanders and colleagues at RAFT exposed skin samples removed from consenting patients during surgery to UVA light at intensities similar to that of sunlight .,1,0.012127
Y13,predicted_yes,"The priest , the Rev. John F. Johnston , 64 , of 35th Avenue in Jackson Heights , was charged with aggravated harassment and criminal possession of a weapon .","The Rev. John Johnston , 64 , was charged with aggravated harassment in the phone call case and with criminal possession of a weapon , according to a police statement .",1,0.063563
