pair_id,pred_set,sentence1,sentence2,ground_truth_label,avg_top5_nonparaphrase_features
Y1,predicted_yes,"ONG KONG , July 9 Tens of thousands of demonstrators gathered tonight before the legislature building here to call for free elections and the resignation of Hong Kong 's leader .",Tens of thousands of demonstrators gathered yesterday evening to stand before this city 's legislature building and call for free elections and the resignation of Hong Kong 's leader .,1,0.143530
Y2,predicted_yes,She appeared in federal court there Monday and was expected to be transferred to Houston in two weeks .,Holloway surrendered in Cleveland on Friday and was expected to be transferred to Houston in two weeks .,0,0.479631
Y3,predicted_yes,"Georgia cannot afford to not get funding , "" said Dr. Melinda Rowe , Chatham County 's health director .","Georgia cannot afford to not get funding , "" said county health director Dr. Melinda Rowe .",1,0.097563
Y4,predicted_yes,"When a manager let him into the apartment , the youngster was in a baby 's bathtub , covered with a towel and watching a TV cartoon channel .","When the manager let him in the apartment , Brianna was in her mother 's bedroom lying in a baby 's bathtub , covered with a towel and watching cartoons .",1,0.135268
Y5,predicted_yes,"It is the fifth such election in Iraq , after the northern city of Mosul and three cities in Iraq 's south .",Other elections have taken place in the northern city of Mosul and three cities in Iraq 's south .,1,0.080631
Y6,predicted_yes,"The fawn , named after Dr Duane Kraemer , one of the researchers , was born a few months ago .","The fawn , named for university researcher Duane Kraemer , turns 7 months old today .",1,0.129237
Y7,predicted_yes,Kerry last month outlined a U.N. resolution authorizing a military force under U.S. command and transferring responsibility to the United Nations for the political and humanitarian efforts .,Kerry outlined last month a UN resolution authorizing a military force under US command and transferring responsibility for political and humanitarian efforts to the UN .,1,0.117626
Y8,predicted_yes,"They were released to authorities after officers delivered the soda to the gunman , using a long stick to pass the six-pack through a door .","They were released to authorities after officers delivered a six-pack of Dr Pepper to the gunman , using a long stick to pass the soda through a door .",1,0.184108
Y9,predicted_yes,"Among the most recent additions to the list , which to date includes more than 360 groups and individuals , is Zelimkhan Yandarbiev , the former president of Chechnya .","The most recent addition to the list , which to date includes 125 names , is Zelimkhan Yandarbiev , the former president of Chechnya .",1,0.185293
Y10,predicted_yes,""" Qualcomm has enjoyed many years of selling ... against little or no competition , "" Hubach said in the statement .",""" Qualcomm has enjoyed many years of selling CDMA chips against little or no competition , "" said TI General Counsel Joseph Hubach .",1,0.082796
Y11,predicted_yes,"The panels picture the towers standing tall and outline their history , including their construction , the 1993 bombing and their ultimate destruction on Sept . 11 , 2001 .","The panels outline the twin towers ' history , including their construction , the 1993 bombing and their ultimate destruction by terrorists on Sept . 11 , 2001 .",1,0.064793
Y12,predicted_yes,"PC-related products were the strongest sector in July , with microprocessors up 5.6 % and DRAMs up 8.2 % from June , the industry group said .","PC-related products were the strongest sellers , with microprocessors up 5.6 percent and DRAMs up 8.2 percent , the SIA said .",1,0.077032
Y13,predicted_yes,""" We continue to work with the Saudis on this , but they did not , as of the time of this tragic event , provide the additional security we requested . """,""" But they did not , as of the time of this particular tragic event , provide the security we had requested , "" Mr Jordan said .",0,0.095482
Y14,predicted_yes,"However , a recent slide in prices and OPEC 's expectations of a surge in oil inventories have compounded its fears about a further softening of the market .",A 14 percent slide in crude prices this month and expectations of a build up in oil inventories compounded OPEC 's fears of a further softening of the market .,1,0.078704
Y15,predicted_yes,"Three-year-old Jaryd Atadero vanished on Oct. 2 , 1999 while on a hiking trip with a church group .",He was on a hiking trip that day with a church group .,0,0.334930
Y16,predicted_yes,The value of the deal has increased since BP first announced it in February .,The value of BP 's investment has risen since the deal was announced in February .,1,0.221690
Y17,predicted_yes,"The Dow Jones Industrial Average held on to small gains , up 19.96 to 9,092.91 , while the S & P 500 index shed 0.39 to 981.25 .","The Dow Jones industrial average was up 17 points to 9,090 , while the Nasdaq composite index fell 10 points to 1,601 .",0,0.074480
Y18,predicted_yes,Pressure also came last night from religious circles as three Anglican bishops said it was time for their former colleague to step down .,The pressure on Peter Hollingworth to resign as Governor-General intensified last night as three Anglican bishops said it was time for their former colleague to step down .,1,0.174501
Y19,predicted_yes,Shinseki retires Wednesday after a 38-year career that included combat in Vietnam and head of U.S. peacekeeping efforts in Bosnia .,Shinseki 's career included combat in Vietnam and head of U.S. peacekeeping efforts in Bosnia .,0,0.140643
Y20,predicted_yes,"SARS , the deadly respiratory disease first detected in China last November , gave the agency its first real test of a new state-of-the-art emergency operations center .","And SARS , the deadly respiratory disease first detected in China last November , tested the agency 's new state-of-the-art emergency operations center .",1,0.238330
Y21,predicted_yes,"He replaces Ron Dittemore , who announced his resignation in April .",Dittemore announced his plans to resign on April 23 .,0,0.399347
Y22,predicted_yes,"Shelia Chaney Wilson seemed agitated when she came to help prepare for Turner Monumental A.M.E. Church 's upcoming 104th anniversary celebration , worshippers said .","Congregants of Turner Monumental AME Church said Shelia Chaney Wilson , 43 , was agitated when she came to the church , in the Kirkwood neighborhood on the city 's east side .",0,0.293714
Y23,predicted_yes,"Kyi , a U.N. envoy says , as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed .","JAPAN added to growing international pressure on Burma yesterday , threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi .",1,0.143831
Y24,predicted_yes,"Thus far , Stewart 's company appears ready to stand behind her .","For now , the company 's management appears to be standing behind Stewart .",1,0.144257
Y25,predicted_yes,He says information released about a tarot card left at one shooting scene may have prolonged the spree by cutting off fragile communications with the sniper .,He says the release of a tarot card left at a shooting scene may have prolonged the spree by cutting off fragile communications with the sniper .,1,0.088917
Y26,predicted_yes,"Six months ago , the IMF and Argentina struck a bare-minimum $ 6.8-billion debt rollover deal that expires in August .","But six months ago , the two sides managed to strike a $ 6.8-billion debt rollover deal , which expires in August .",1,0.135319
