idx,usage,english,french,ground_truth_label
1,select,The precautionary principle must therefore apply in the absence of scientific certainty.,.,1
2,select,Before leaving this area I would add that we agree with the rapporteur that the existing internal audit function must be maintained pending the establishment of the new independent internal audit service in a matter of months.,"Une réponse sérieuse aux dénonciations, une confidentialité au stade de départ et une protection de la carrière seront garanties pour ceux qui signaleront des dysfonctionnement de bonne foi et qui ne compromettront pas les enquêtes par des révélations inopportunes.",1
3,select,"It is the Cypriot Government, Mr President-in-Office, not the government of Nicosia.","Quant au montant qui figure dans le rapport Brok - 130 millions d'euros - je tiens à déclarer, au nom du groupe libéral, que nous devons d'abord négocier le volume de ce montant.",1
4,select,"I recommend that Lisbon Summit take three decisions in this regard: firstly, on a strategy for lifelong learning, with the establishing of an agenda for eradicating child poverty, both financial and intellectual impoverishment; secondly, on preparing European society for the European research area; thirdly, on implementing a working methodology and coordination procedure which is open and based on our social and economic policies, and is accompanied by concerted assessment of our national plans.",Pourquoi ?,0
5,select,What are the weaknesses in the current eco-label regulation which have given rise to today' s unsatisfactory situation?,"L'expérience du système Svanen (le cygne), qui a cours dans les pays nordiques et est lui-même inspiré du Blauer Engel (l'ange bleu) allemand, montre que l'étiquetage environnemental des produits est un moyen très important et efficace pour obtenir de nos concitoyens qu'ils modifient leurs habitudes de consommation et achètent selon des critères écologiques.",1
6,select,"The new INTERREG programme, in the form in which we have received it, takes into consideration the needs engendered by enlargement to the countries of Eastern and Central Europe and to island regions and most remote regions.","En favorisant une coopération transfrontalière, transnationale et interrégionale, cet instrument transversal est l' incarnation même d' une politique régionale de dimension européenne favorable à un aménagement harmonieux et équilibré du territoire communautaire.",1
7,select,I believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible.,"À mon sens, le principe de stabilité relative est un principe juridique fondamental de la politique commune de la pêche et toute proposition le bouleversant serait juridiquement irrecevable.",1
8,select,"This is why it was justifiable to set up a system of aid to this sector with the aim of ensuring the survival of successful businesses, even if this was in contradiction of Article 4 of the ECSC Treaty.","L'espace rural doit vraiment être considéré comme une ressource dans laquelle il faut investir de plus en plus, en incitant les jeunes à rester dans les régions rurales pour en éviter la destruction économique et sociale.",0
9,select,"Women are the prime victims of armed conflicts but are under-represented in peace-keeping efforts, conflict resolution and reconstruction work.",EXPLICATIONS DE VOTE,0
10,select,I hope that this proposal will be another important step in this direction and that is why I especially want to thank the rapporteur Mrs Myller for her valuable work.,La Commission examinera la question de savoir si d'autres propositions de ce type doivent être faites à l'OMI et si des actions internationales sont nécessaires en matière d'émission provenant d'avions.,1
11,select,That is important.,VOTES,0
12,select,"That is why I will only believe that there is any point to having this debate today if what we are all saying today, and what the Commissioner has announced here, actually leads to legislation being produced; in other words, if you all go and say to your Heads of Government and Ministers: ""you must push this through in the Council of Ministers"" .","Naturellement, nous avons besoin de navires à double coque.",1
13,select,(The sitting was closed at 12.25 p.m.),"B5-0159/2000 des députés Gasòliba i Böhm et Sánchez García, au nom du groupe du parti européen des libéraux démocrates et réformateurs, sur les incidents racistes et xénophobes à El Ejido (Espagne) ;",0
14,select,Does section 11(1) conceivably authorise the following practice.,"Par exemple, comment combiner les tentatives visant à briser l' isolement social et la discrimination quasi généralisée des Roms avec la préservation de l' identité Rom ?",0
15,select,"We do need to obtain, from the Commission and the Council, in other words from each of the governments forming the Union, a clear, positive or negative, political stance. They must indicate whether they are ready to defend, within competent public bodies such as the International Monetary Fund in the first instance, the appropriateness of such a tax within the other instruments needed to stabilise the international monetary system.",Produits de cacao et de chocolat (suite),0
16,select,McCarthy report (A5-0026/2000),"Madame la Présidente, on a beaucoup parlé, ces derniers temps, de l'élargissement de l'Union européenne.",0
17,select,"That is the same as a single, medium-sized, German opera house' s expenditure over the same period, when here in Europe this sum has been earmarked for 29 countries over a period of five years!","Madame la Présidente, celui qui a l'honneur, comme moi, de présider la commission de la culture ne peut que partager les remarques des divers collègues et féliciter le rapporteur, la commissaire, Mme Reding, avec qui il a travaillé et ceux qui, également lors de la conciliation, ont connu des difficultés et qui ont lutté contre le Conseil, comme vous l'avez entendu.",1
18,select,"Finally, I would like to conclude this speech by drawing attention to the set of measures already adopted in the Council of the European Union and the various Community actions it has implemented.",Voilà pour l'aspect politique.,0
19,select,VOTE,On a parlé de la défense de ces droits de l' homme et je voudrais insister à présent sur l' idée que la proclamation des droits de l' homme a pour corollaire la possibilité de son exercice.,0
20,select,The European Parliament has relayed their concerns and they have been heard.,Rapport Stenzel (A5-0034/2000),1
21,select,Welcome,"la contribution des projets soutenus à la durabilité des activités socio-économiques, et par conséquent à la création d' emplois.",1
22,select,"I just want to outline some of the issues that we, as Socialists, have put down as amendments.","Même si nous n'entendons rien d'autre, nous savons que les reformes que nous attendons vont dans la bonne direction.",1
23,select,We therefore respect whatever Parliament may decide.,"Par conséquent, nous respectons les décisions que pourrait prendre le Parlement dans ce sens.",1
24,select,"Now, finally, the EU' s position is, of course, such that we can achieve high growth and seriously take up the fight against unemployment without jeopardising objectives such as price stability and a balanced budget.",J'espère aussi que le vote ne sera pas un coup dans l'eau et deux points sont tout à fait essentiels pour moi à cet égard.,0
25,select,"In principle, I believe that in many cases where transport is concerned we should be working towards increased flexibility and country-specific rules.","Une UE flexible qui se concentre sur des domaines moins nombreux, mais essentiels et qui respecte les différences nationales et les démocraties nationales a plus de chances d'englober beaucoup plus de pays.",0
26,select,CITES,La Commission multiplie les interventions diplomatiques pour parvenir au nombre de ratifications qui lui permettrait de jouer un rôle plus actif dans le cadre de la CITES.,1
27,select,.,"En réalité, il s'agit de renforcer le pouvoir exécutif, de développer les annexions au libéralisme des pays de l'Est et de relancer la militarisation de l'Europe en augmentant notamment les budgets militaires.",1
