idx,usage,english,french,ground_truth_label
1,select,This particularly applies in areas within the EU where distances are great and where a lot of small companies are involved in dismantling vehicles.,Imposer une responsabilité économique au constructeur rétroactivement pour sa marchandise est en contradiction avec les principes économiques et juridiques établis.,1
2,select,"There is also another important aspect which I referred to at the beginning of my statement, and this relates to Turkey' s role in helping the north of the island to prepare for accession.",Nous devons également nous demander s'il n'y a pas une exigence de justice fiscale.,0
3,select,"Margarine and a few kilos of paint which, in principle, do not present risks, led to a genuine disaster.",À chacun son choix de vie.,0
4,select,"I believe that what is now proposed with this 'Charter' will eventually lead to conflict between the interpretation of rights under the different documents, which could create a legal vacuum and, ironically, reduce the rights available.",La convention européenne des droits de l'homme constitue un excellent instrument de protection des droits de l'homme en Europe.,1
5,select,"Mr President, Commissioner, I think that first we should all congratulate ourselves on the procedure that has been adopted and which will lead us, after each of our respective political groups has rallied together and expressed its feelings, finally to produce a joint resolution.","J'ai d'ailleurs noté, à ma grande satisfaction, que même les groupes souverainistes ou eurosceptiques appellent l'Europe à réglementer, et je crois que c'est le bon niveau, en effet pour ce faire.",1
6,select,We hope that the Council and the Commission will take this contribution seriously and include it in future social policy.,La question est la suivante : cela constitue-t-il un moyen constitutionnel pour y arriver ?,0
7,select,. (DA) We have voted in favour of the report on the communication from the Commission concerning the guidelines for a Community initiative relating to the economic and social regeneration of cities and neighbourhoods in crisis and designed to promote sustainable development (URBAN).,"Maintenant, je signale que dans ce large accord, certains groupes ont déclaré que la majorité du Parlement devrait être une opposition à la majorité du Conseil.",0
8,select,"It is not just the extent of this disaster, and its expression in terms of the number of dead, communities stranded, children with nothing to eat, the destruction of homes and property, or the belated aid many have spoken of today, that arouse our sympathy. It is the irony of a people who, after securing their independence and surviving a war, had the ability and intelligence to choose peace and democracy, and began to rebuild their infrastructure and pursue development, only to be met with a natural tragedy of these proportions, forcing it to start all over again in many areas.",sur la liberté de la presse dans la République fédérale de Yougoslavie.,1
9,select,"In addition, we have applied the precautionary principle by refusing the prior studies on the impact which this directive will have on the producing countries and so on. Nothing has changed.","Monsieur le Président de la Commission, en conclusion, laissez-moi vous dire que nous, le groupe du parti populaire européen et des démocrates européens, avons tout intérêt à avoir une Commission forte.",0
10,select,The first is greater transparency.,"Ce Parlement sait combien nous estimons importante la question de la transparence dans la politique de la concurrence, comme moi, personnellement, dès le premier jour où j'ai été entendu par la commission économique et monétaire, à savoir le 1er septembre.",1
11,select,"Before the vote at the plenary sitting, new amendments have been tabled such as have already been voted down by the Committee.","Nos quartiers urbains les plus défavorisés font face à une multitude de problèmes : un taux de chômage élevé et, souvent, des emplois précaires faiblement rémunérés, la pauvreté et l'exclusion sociale.",0
12,select,"When you observe - and you cannot fail to do so - the disparity in the legal systems and concepts, and the fact that we wish to improve coordination, I believe that there are three ways in which we can proceed.",Naufrage de l' Erika,1
13,select,"I do not know whether this is to appease Mr Kinnock, but I happen to know Mr Kinnock.","Il n'est tout simplement pas acceptable que des actionnaires ou des administrateurs de sociétés anonymes puissent décider seuls des emplois, de l'économie et de l'évolution du cours des actions.",0
14,select,These values must be given expression in the form of solidarity with the weaker groups in our society and in the world around us.,"À mon avis, cette résolution recèle une série de points essentiels, mais je m' attarderai sur un point particulier, à savoir la nécessité d' une coordination accrue entre l' Union européenne et les Nations Unies.",1
15,select,The Council?,Cela fait partie de la gestion des risques.,1
16,select,To blame fishermen alone for environmental damage is both unfair and wrong.,"Enfin, nous soutenons les amendements introduits par le groupe de la gauche unitaire.",1
17,select,Do you envisage circumstances under which the BSE status will depend on the willingness to apply a BSE test?,"Monsieur le Président, Mesdames et Messieurs, Monsieur le Commissaire, grâce aux orientations, les États membres se voient offrir une ligne de conduite pour atteindre les objectifs de réforme dans le cadre de la programmation.",0
18,select,"Taking these aspects into account, I consider it appropriate that we create a framework of this kind, as proposed, and I also consider it necessary to the further development of OLAF.","Dans ce domaine, les institutions de l' Union européenne ­ la Commission également, bien entendu ­ sont investies d' une responsabilité générale, car il s' agit de diffuser et de soutenir des valeurs essentielles qui, par ailleurs, sont identiques à celles inspirées par notre projet européen.",0
19,select,"I emphasise the word 'could' , and that is if it is done well and with care.","Pour l' heure, d' après ce que nous savons, dans le seul pays où elle s' est opérée, la Suède, la libéralisation s' est traduite par une augmentation du prix des services postaux de l' ordre de 59 %.",1
20,select,"In the interim stage, its basic duty will be to advise the Council and myself and to take initial decisions on how to set up the final bodies which we will, of course, try to have in place by the end of this year or the beginning of next.","Mais avant cela, permettez-moi de partager avec vous une conversation téléphonique que j'ai eue il y a quelques heures avec le médiateur du Conseil de l'Europe à propos de la Tchétchénie.",1
21,select,It emphasised the importance of the Council taking new measures within a Community framework and in the context of its own work with international organisations.,C'est la raison pour laquelle nous réagissons contre les manigances qui se produisent en Autriche.,0
22,select,"Firstly, its position does not correspond to the demands of consumers who want clear labelling.","Monsieur le Député, je voudrais revenir tout d'abord sur mon commentaire.",0
23,select,"We look to it to challenge the UK Government, to ensure that the private sector, which surely must be providing the major impetus for Structural Funds expenditure, is involved in the planning stage.","Vu le temps très court qui m'est imparti, je voudrais m'attarder sur un point spécifique, abordé par l'orateur précédent et par d'autres.",0
24,select,"That is where Mr Gollnisch clearly differs from his family, because he himself accepts fascism or, to put it plainly, he is a fascist.",C'est pourquoi le plein emploi doit figurer en tête de l'ordre du jour.,0
25,select,I can therefore only concur that it is desirable for some light to be shed on the matter soon.,"En Finlande, les eaux de surface sont très propres.",0
26,select,We need the specialist toxic waste incinerators.,"Le débat entre, soit la prolongation de la Convention de Lomé, avec ses quotas et son protectionnisme, soit au contraire la liquidation progressive des relations particulières entre l'Union européenne et les pays ACP au nom du libre-échange, est un débat faussé entre deux façons de perpétuer le pillage et l'appauvrissement de ces pays.",0
27,select,"It also means that, when we are fighting these diseases, the problem of destroying whole herds in the event of an outbreak of scrapie or BSE and the question of defining geographical areas are items which also remain on the agenda.","Après tout, ce sont les mêmes acteurs.",1
28,select,Bombing continues ruthlessly and unreported.,"Lorsqu'on entreprendra la réalisation du programme, j'espère tout particulièrement que l'on pourra tirer entièrement profit des possibilités qu'il offre à la littérature et à la traduction des livres.",0
29,select,"Resources are also needed for promoting practical cooperation and human rights, strategic planning, the establishment of priorities and strengthening communications between the donor community and member states of the United Nations.","Madame la Présidente, on a beaucoup parlé, ces derniers temps, de l'élargissement de l'Union européenne.",0
30,select,"Mrs Maes, the issue you have raised will be studied by the Presidency and the Conference of Presidents immediately.",Nous ne sommes pas parvenus à diffuser les leçons et les valeurs tirées de ce conflit.,1
31,select,"So far as the September communication is concerned, it is unprecedented.","Au cours de ces prochaines années, je continuerai sur la voie des pratiques dans laquelle je me suis déjà engagé, avec plusieurs de mes collègues de la Commission bien entendu, à savoir de profondes discussions avec les administrations des nouveaux États membres.",1
32,select,"More supervision nationally - supervision by national governments of national banks - and internationally, for example by means of the IMF.","Ces aides sont surtout une manne pour les régimes en place, sans que la majorité pauvre des populations en tire avantage.",0
33,select,"I think it very important that we should emphasise straight away that a number of demands are to be made in connection with enlargement as well, specifically that the new Member States should arrange to be represented by both men and women so that in that way they are improving the status of women in the countries concerned.",Voilà le genre d' engrenage auquel on se trouve sans cesse soumis lorsqu' on joue le jeu de l' intégration européenne avec les institutions de Bruxelles.,0
34,select,This certainly does not mean that I do not share the concern in Sweden surrounding the possible health problems which can be caused by alcohol abuse.,"À nouveau, je répète ce que j' ai déjà déclaré précédemment sur ce point et je l'assure, ainsi que l'Assemblée, qu' il serait extrêmement inapproprié de la part de la Commission de chercher à justifier une mesure prise sur la base de l' article 37 en excluant simplement de la disposition toute référence à la santé publique.",0
35,select,Yet how can the gulf between political rhetoric and reality be filled?,C'est un élément qu'il est important de garder à l'esprit.,0
36,select,Which citizens will it cover (those of the European Union or the citizens of all European countries with a view to enlargement? Will it cover immigrants etc.?)?,"Probablement nos points de vue et nos positions ne seront pas toujours les mêmes, il y aura sans doute des différences, comme c' est normal.",0
37,select,The Commission is also pleased to note that its views are basically in agreement with those of the European Parliament on the nature and content of this Charter.,Je voudrais donc déclarer la chose suivante : je n'ai rien à retirer de mes propos selon lesquels l'extrême-droite abuse de cette enceinte pour ses tirades incendiaires.,1
38,select,"We can see who is prepared to vote for a retrospection which is of doubtful legality, which would be a costly burden to every future car buyer and a devastating blow for the European car industry.","C'est pourquoi, chers collègues, je vous demande de soutenir les amendements déposés par Bernd Lange, qui seront soutenus par le groupe du parti des socialistes européens car, en effet, ils concilient l'ensemble des intérêts en présence - intérêts économiques et contraintes environnementales - tout en laissant les États membres libres des modalités de mise en uvre de ces contraintes, puisque ces amendements prévoient en effet que les systèmes en place dans les États membres, et il y en a qui fonctionnent tout à fait bien, pourront continuer à fonctionner.",1
39,select,"I too agree that Amendments 7 to 13 are unfortunate, indeed Amendment 13 would not merely negate the intended effects of the proposal but actually would make the situation even more difficult than under current rules.",Je propose que nous votions sur la demande du groupe socialiste visant à réinscrire la déclaration de la Commission sur ses objectifs stratégiques.,0
40,select,We want to build a Europe with a sustainable and healthy environment.,"Madame la Présidente, Monsieur le Président, chers collègues, lors de notre vote d'investiture, nous vous avions donné rendez-vous aujourd'hui.",0
41,select,I have read a few documents written by Mr Kinnock and we have every confidence in them.,Aucune réponse à ces questions cruciales ne nous est parvenue.,1
42,select,(SV) We are pleased that a limited agenda has been established for the Intergovernmental Conference at the Helsinki Conference.,"En l'occurrence, je vous assure qu'il y avait une immense majorité en faveur de la directive que nous venons de voter.",0
