pair_id,pred_set,english,french,ground_truth_label,avg_top5_invalid_translation_features
Y1,predicted_yes,The precautionary principle must therefore apply in the absence of scientific certainty.,.,1,195.048248
Y2,predicted_yes,Before leaving this area I would add that we agree with the rapporteur that the existing internal audit function must be maintained pending the establishment of the new independent internal audit service in a matter of months.,"Une réponse sérieuse aux dénonciations, une confidentialité au stade de départ et une protection de la carrière seront garanties pour ceux qui signaleront des dysfonctionnement de bonne foi et qui ne compromettront pas les enquêtes par des révélations inopportunes.",1,103.356834
Y3,predicted_yes,"It is the Cypriot Government, Mr President-in-Office, not the government of Nicosia.","Quant au montant qui figure dans le rapport Brok - 130 millions d'euros - je tiens à déclarer, au nom du groupe libéral, que nous devons d'abord négocier le volume de ce montant.",1,118.696434
Y4,predicted_yes,"I recommend that Lisbon Summit take three decisions in this regard: firstly, on a strategy for lifelong learning, with the establishing of an agenda for eradicating child poverty, both financial and intellectual impoverishment; secondly, on preparing European society for the European research area; thirdly, on implementing a working methodology and coordination procedure which is open and based on our social and economic policies, and is accompanied by concerted assessment of our national plans.",Pourquoi ?,0,116.576889
Y5,predicted_yes,What are the weaknesses in the current eco-label regulation which have given rise to today' s unsatisfactory situation?,"L'expérience du système Svanen (le cygne), qui a cours dans les pays nordiques et est lui-même inspiré du Blauer Engel (l'ange bleu) allemand, montre que l'étiquetage environnemental des produits est un moyen très important et efficace pour obtenir de nos concitoyens qu'ils modifient leurs habitudes de consommation et achètent selon des critères écologiques.",1,107.449463
Y6,predicted_yes,"The new INTERREG programme, in the form in which we have received it, takes into consideration the needs engendered by enlargement to the countries of Eastern and Central Europe and to island regions and most remote regions.","En favorisant une coopération transfrontalière, transnationale et interrégionale, cet instrument transversal est l' incarnation même d' une politique régionale de dimension européenne favorable à un aménagement harmonieux et équilibré du territoire communautaire.",1,200.525711
Y7,predicted_yes,I believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible.,"À mon sens, le principe de stabilité relative est un principe juridique fondamental de la politique commune de la pêche et toute proposition le bouleversant serait juridiquement irrecevable.",1,117.116089
Y8,predicted_yes,"This is why it was justifiable to set up a system of aid to this sector with the aim of ensuring the survival of successful businesses, even if this was in contradiction of Article 4 of the ECSC Treaty.","L'espace rural doit vraiment être considéré comme une ressource dans laquelle il faut investir de plus en plus, en incitant les jeunes à rester dans les régions rurales pour en éviter la destruction économique et sociale.",0,163.977997
Y9,predicted_yes,"Women are the prime victims of armed conflicts but are under-represented in peace-keeping efforts, conflict resolution and reconstruction work.",EXPLICATIONS DE VOTE,0,228.904617
Y10,predicted_yes,I hope that this proposal will be another important step in this direction and that is why I especially want to thank the rapporteur Mrs Myller for her valuable work.,La Commission examinera la question de savoir si d'autres propositions de ce type doivent être faites à l'OMI et si des actions internationales sont nécessaires en matière d'émission provenant d'avions.,1,117.116089
Y11,predicted_yes,That is important.,VOTES,0,194.273193
Y12,predicted_yes,"That is why I will only believe that there is any point to having this debate today if what we are all saying today, and what the Commissioner has announced here, actually leads to legislation being produced; in other words, if you all go and say to your Heads of Government and Ministers: ""you must push this through in the Council of Ministers"" .","Naturellement, nous avons besoin de navires à double coque.",1,195.559799
